external_id,name,city,country,lat,lng,type,criticality,headcount
,Munich - Gabrielenstrasse,Munich,Germany,48.1620,11.5560,office,tier-3,
,Duesseldorf - Schwannstrasse,Duesseldorf,Germany,51.2500,6.7570,office,tier-3,
,Hannover - Philipsbornstrasse (Vahrenwald),Hannover,Germany,52.3960,9.7300,office,tier-3,
,Kiel - Hopfenstrasse,Kiel,Germany,54.3220,10.1350,office,tier-3,
,Vienna - Julius-Tandler-Platz,Vienna,Austria,48.2270,16.3600,office,tier-3,
,Basel - Sandgrubenstrasse (Westhive),Basel,Switzerland,47.5680,7.6010,office,tier-3,
,Zurich - Thurgauerstrasse,Zurich,Switzerland,47.4110,8.5480,office,tier-3,
,Lausanne - Av. de Gratta-Paille,Lausanne,Switzerland,46.5430,6.6060,office,tier-3,
,Copenhagen - Bygmestervej (Designit),Copenhagen,Denmark,55.7080,12.5310,office,tier-3,
,Oslo - Akersbakken,Oslo,Norway,59.9200,10.7480,office,tier-3,
,Stockholm - Sveavagen Hitech Building,Stockholm,Sweden,59.3360,18.0600,office,tier-3,
,Stockholm - Gustavslundsvagen (Bromma),Stockholm,Sweden,59.3320,17.9770,office,tier-3,
,Espoo - Keilaranta (Keilaniemi),Espoo,Finland,60.1760,24.8320,office,tier-3,
,Warsaw - Varso Tower Chmielna,Warsaw,Poland,52.2290,20.9990,office,tier-2,
,Gdansk - Alchemia Ferrum Tower,Gdansk,Poland,54.4030,18.5720,office,tier-2,
,Gdansk - Wave by Skanska,Gdansk,Poland,54.4000,18.5760,office,tier-2,
,Budapest - Stefania ut,Budapest,Hungary,47.5060,19.1010,office,tier-3,
,Bucharest - The Square Gara Herastrau,Bucharest,Romania,44.4790,26.0980,office,tier-2,
,Timisoara - City Business Centre,Timisoara,Romania,45.7550,21.2270,office,tier-2,
,Maia - Edificio Wipro Moreira,Maia,Portugal,41.2400,-8.6400,campus,tier-2,
,Istanbul - Zorlu Center Besiktas,Istanbul,Turkey,41.0670,29.0170,office,tier-3,
,Istanbul - Beybi Giz Plaza Maslak (Regus),Istanbul,Turkey,41.1100,29.0180,office,tier-3,
,Istanbul - Palladium Tower Atasehir,Istanbul,Turkey,40.9880,29.1270,office,tier-3,
,East Brunswick - Tower Center Boulevard (Americas HQ),East Brunswick,United States,40.4279,-74.4159,office,tier-2,
,New York - Avenue of the Americas,New York,United States,40.7550,-73.9830,office,tier-2,
,Brooklyn - Sands Street,Brooklyn,United States,40.7010,-73.9860,office,tier-3,
,Atlanta - Woodcock Boulevard,Atlanta,United States,33.8890,-84.2970,office,tier-3,
,Plano - Legacy Drive,Plano,United States,33.0770,-96.8240,office,tier-2,
,Austin - Center Lake Drive,Austin,United States,30.4150,-97.6700,office,tier-3,
,Franklin - Cool Springs Boulevard,Franklin,United States,35.9450,-86.8150,office,tier-3,
,Troy - W. Big Beaver Road,Troy,United States,42.5620,-83.1600,office,tier-3,
,O'Fallon - Technology Drive,O'Fallon,United States,38.7830,-90.7150,office,tier-3,
,Jefferson City - Capital Mall,Jefferson City,United States,38.5760,-92.2100,office,tier-3,
,Canfield - Boardman-Canfield Road,Canfield,United States,41.0180,-80.7080,office,tier-3,
,Mountain View - National Avenue,Mountain View,United States,37.4020,-122.0740,office,tier-2,
,Bellevue - 158th Court NE,Bellevue,United States,47.6180,-122.1310,office,tier-3,
,Toronto - First Canadian Place,Toronto,Canada,43.6480,-79.3820,office,tier-2,
,Calgary - 4th Avenue SW,Calgary,Canada,51.0480,-114.0720,office,tier-3,
,Montreal - Rue Saint-Jacques,Montreal,Canada,45.5020,-73.5590,office,tier-3,
,Mexico City - Insurgentes Sur,Mexico City,Mexico,19.3860,-99.1760,office,tier-3,
,Guadalajara - Parque Industrial El Bosque (Tlaquepaque),Guadalajara,Mexico,20.6060,-103.3900,office,tier-2,
,Guadalajara - Parque Industrial Tecnologico III (Tlaquepaque),Guadalajara,Mexico,20.6000,-103.3820,office,tier-2,
,Curitiba - Rua Joao Marchesini,Curitiba,Brazil,-25.4470,-49.2800,office,tier-2,
,Barueri - Alphaville Alameda Rio Negro,Barueri,Brazil,-23.4970,-46.8560,office,tier-2,
,Fortaleza - Av. Pessoa Anta,Fortaleza,Brazil,-3.7200,-38.5150,office,tier-3,
,Natal - Rua Leoncio Etelvino de Medeiros,Natal,Brazil,-5.8380,-35.2080,office,tier-3,
,Heredia - America Free Zone Lagunilla,Heredia,Costa Rica,9.9940,-84.1340,office,tier-2,
,Sydney - 201 Kent Street,Sydney,Australia,-33.8650,151.2050,office,tier-2,
,Parramatta - Marsden Street,Parramatta,Australia,-33.8150,151.0030,office,tier-3,
,Melbourne - 100 Queen Street,Melbourne,Australia,-37.8160,144.9620,office,tier-2,
,Brisbane - 167 Eagle Street,Brisbane,Australia,-27.4650,153.0290,office,tier-3,
,Perth - Durack Centre Adelaide Terrace,Perth,Australia,-31.9540,115.8680,office,tier-3,
,Canberra - Moore Street,Canberra,Australia,-35.2800,149.1300,office,tier-3,
,Dhaka - Gulshan-1,Dhaka,Bangladesh,23.7810,90.4160,office,tier-3,
,Dalian - Wipro Campus BEST City,Dalian,China,38.9400,121.5100,campus,tier-2,
,Chengdu - Hi-tech Zone Jirui 2nd Road,Chengdu,China,30.5728,104.0668,office,tier-2,
,Shanghai - Zhangjiang Pudong FTZ,Shanghai,China,31.2050,121.5980,office,tier-2,
,Guangzhou - Tianhe Huaxia Road,Guangzhou,China,23.1180,113.3230,office,tier-3,
,Tianjin - TEDA Xinhua North Street,Tianjin,China,39.0060,117.7060,office,tier-3,
,Jakarta - Menara BCA Thamrin,Jakarta,Indonesia,-6.1940,106.8230,office,tier-3,
,Jakarta - Telkom Landmark Tower Gatot Subroto,Jakarta,Indonesia,-6.2280,106.8250,office,tier-3,
,Yokohama - Landmark Tower Minato Mirai,Yokohama,Japan,35.4550,139.6310,office,tier-3,
,Kuala Lumpur - The Gardens North Tower Mid Valley,Kuala Lumpur,Malaysia,3.1180,101.6780,office,tier-3,
,Cebu City - Cebu Business Park Tech Tower,Cebu City,Philippines,10.3180,123.9050,office,tier-2,
,Cebu City - Cebu IT Park Apas,Cebu City,Philippines,10.3300,123.9060,office,tier-2,
,Quezon City - Eton Centris BPO1,Quezon City,Philippines,14.6430,121.0350,office,tier-2,
,Quezon City - Eton Centris Cyberpod 5,Quezon City,Philippines,14.6440,121.0360,office,tier-2,
,Singapore - Changi Business Park Plaza 8,Singapore,Singapore,1.3340,103.9640,office,tier-2,
,Singapore - One George Street,Singapore,Singapore,1.2860,103.8490,office,tier-2,
,Taipei - Zhongxiao East Road Xinyi,Taipei,Taiwan,25.0410,121.5650,office,tier-3,
,Bangkok - CentralWorld Offices Pathumwan,Bangkok,Thailand,13.7470,100.5390,office,tier-3,
,Seoul - Two IFC Yeouido,Seoul,South Korea,37.5250,126.9250,office,tier-3,
,Lagos - Mulliner Towers Ikoyi,Lagos,Nigeria,6.4400,3.4260,office,tier-3,
,Johannesburg - Rivonia Road Sandton,Johannesburg,South Africa,-26.1070,28.0560,office,tier-3,
,Nairobi - The Oval Westlands,Nairobi,Kenya,-1.2660,36.8030,office,tier-3,
